"alpha" "gamma" "sigma" "beta" "phi" "rho"
"66" 0.075 0.2 1.7 0.2 20 1
"67" 0.075 0.2 1.7 0.2 0 1.2
"68" 0.075 0.2 1.7 0.2 2 1.2
"69" 0.075 0.2 1.7 0.2 4 1.2
"70" 0.075 0.2 1.7 0.2 6 1.2
"71" 0.075 0.2 1.7 0.2 8 1.2
"72" 0.075 0.2 1.7 0.2 10 1.2
"73" 0.075 0.2 1.7 0.2 12 1.2
"74" 0.075 0.2 1.7 0.2 14 1.2
"75" 0.075 0.2 1.7 0.2 16 1.2
"76" 0.075 0.2 1.7 0.2 18 1.2
"77" 0.075 0.2 1.7 0.2 20 1.2
"78" 0.075 0.2 1.7 0.2 0 1.4
"79" 0.075 0.2 1.7 0.2 2 1.4
"80" 0.075 0.2 1.7 0.2 4 1.4
"81" 0.075 0.2 1.7 0.2 6 1.4
"82" 0.075 0.2 1.7 0.2 8 1.4
"83" 0.075 0.2 1.7 0.2 10 1.4
"84" 0.075 0.2 1.7 0.2 12 1.4
"85" 0.075 0.2 1.7 0.2 14 1.4
"86" 0.075 0.2 1.7 0.2 16 1.4
"87" 0.075 0.2 1.7 0.2 18 1.4
"88" 0.075 0.2 1.7 0.2 20 1.4
"89" 0.075 0.2 1.7 0.2 0 1.6
"90" 0.075 0.2 1.7 0.2 2 1.6
"91" 0.075 0.2 1.7 0.2 4 1.6
"92" 0.075 0.2 1.7 0.2 6 1.6
"93" 0.075 0.2 1.7 0.2 8 1.6
"94" 0.075 0.2 1.7 0.2 10 1.6
"95" 0.075 0.2 1.7 0.2 12 1.6
"96" 0.075 0.2 1.7 0.2 14 1.6
"97" 0.075 0.2 1.7 0.2 16 1.6
"98" 0.075 0.2 1.7 0.2 18 1.6
"99" 0.075 0.2 1.7 0.2 20 1.6
"100" 0.075 0.2 1.7 0.2 0 1.8
"101" 0.075 0.2 1.7 0.2 2 1.8
"102" 0.075 0.2 1.7 0.2 4 1.8
"103" 0.075 0.2 1.7 0.2 6 1.8
"104" 0.075 0.2 1.7 0.2 8 1.8
"105" 0.075 0.2 1.7 0.2 10 1.8
"106" 0.075 0.2 1.7 0.2 12 1.8
"107" 0.075 0.2 1.7 0.2 14 1.8
"108" 0.075 0.2 1.7 0.2 16 1.8
"109" 0.075 0.2 1.7 0.2 18 1.8
"110" 0.075 0.2 1.7 0.2 20 1.8
"111" 0.075 0.2 1.7 0.2 0 2
"112" 0.075 0.2 1.7 0.2 2 2
"113" 0.075 0.2 1.7 0.2 4 2
"114" 0.075 0.2 1.7 0.2 6 2
"115" 0.075 0.2 1.7 0.2 8 2
"116" 0.075 0.2 1.7 0.2 10 2
"117" 0.075 0.2 1.7 0.2 12 2
"118" 0.075 0.2 1.7 0.2 14 2
"119" 0.075 0.2 1.7 0.2 16 2
"120" 0.075 0.2 1.7 0.2 18 2
"121" 0.075 0.2 1.7 0.2 20 2
